42.35,2.35,0.63523
42.35,2.45,0.61552
42.35,2.55,0.63119
42.35,2.65,0.56944
42.35,2.75,0.86381
42.35,2.85,2.001
42.35,2.95,2.2392
42.35,3.05,2.2375
42.25,0.25,0.69666
42.25,0.35,0.77827
42.25,0.45,0.71702
42.25,0.55,0.64537
42.25,0.65,0.68583
42.25,0.75,0.70066
42.25,0.85,0.68218
42.25,0.95,0.77382
42.25,1.05,0.72562
42.25,1.15,0.67826
42.25,1.25,0.74983
42.25,1.35,0.95365
42.25,1.45,1.1012
42.25,1.55,1.3066
42.25,1.65,1.4576
42.25,1.75,2.3076
42.25,1.85,4.0884
42.25,1.95,2.9092
42.25,2.05,2.0924
42.25,2.15,2.1488
42.25,2.25,1.968
42.25,2.35,1.5066
42.25,2.45,1.5516
42.25,2.55,1.9192
42.25,2.65,1.8066
42.25,2.75,1.6492
42.25,2.85,1.9216
42.25,2.95,4.3807
42.25,3.05,4.8678
42.15,0.25,1.1125
42.15,0.35,1.1916
42.15,0.45,1.0877
42.15,0.55,0.956
42.15,0.65,0.88021
42.15,0.75,0.76256
42.15,0.85,1.1072
42.15,0.95,1.4004
42.15,1.05,0.84489
42.15,1.15,0.70139
42.15,1.25,0.78988
42.15,1.35,0.93724
42.15,1.45,0.99262
42.15,1.55,1.1273
42.15,1.65,0.89698
42.15,1.75,1.9034
42.15,1.85,2.6172
42.15,1.95,2.5434
42.15,2.05,2.4927
42.15,2.15,3.0011
42.15,2.25,2.1704
42.15,2.35,2.2837
42.15,2.45,2.5648
42.15,2.55,2.6936
42.15,2.65,2.1477
42.15,2.75,3.0279
42.15,2.85,3.893
42.15,2.95,5.7398
42.15,3.05,5.7349
42.05,0.25,1.1405
42.05,0.35,0.98802
42.05,0.45,1.0121
42.05,0.55,0.92972
42.05,0.65,0.7066
42.05,0.75,0.80934
42.05,0.85,1.1241
42.05,0.95,0.97835
42.05,1.05,0.95477
42.05,1.15,0.76712
42.05,1.25,0.86887
42.05,1.35,0.88761
42.05,1.45,0.90521
42.05,1.55,0.85045
42.05,1.65,1.1862
42.05,1.75,1.8052
42.05,1.85,2.2634
42.05,1.95,2.0946
42.05,2.05,1.9642
42.05,2.15,2.4302
42.05,2.25,3.4029
42.05,2.35,2.2654
42.05,2.45,1.5093
42.05,2.55,1.4486
42.05,2.65,1.5273
42.05,2.75,2.173
42.05,2.85,4.7172
42.05,2.95,6.5066
42.05,3.05,6.6642
41.95,0.25,1.2718
41.95,0.35,1.1902
41.95,0.45,1.063
41.95,0.55,1.0435
41.95,0.65,0.76148
41.95,0.75,0.86084
41.95,0.85,0.9184
41.95,0.95,0.9014
41.95,1.05,1.1085
41.95,1.15,1.1475
41.95,1.25,1.2499
41.95,1.35,1.5328
41.95,1.45,1.6845
41.95,1.55,1.4568
41.95,1.65,1.6324
41.95,1.75,2.0279
41.95,1.85,2.5665
41.95,1.95,2.2117
41.95,2.05,2.3935
41.95,2.15,3.0747
41.95,2.25,3.4052
41.95,2.35,1.2674
41.95,2.45,0.92419
41.95,2.55,0.79708
41.95,2.65,2.0055
41.95,2.75,5.6885
41.95,2.85,8.6383
41.95,2.95,7.058
41.95,3.05,5.1533
41.85,0.25,2.5972
41.85,0.35,1.9405
41.85,0.45,1.2504
41.85,0.55,1.0821
41.85,0.65,0.89136
41.85,0.75,0.95647
41.85,0.85,1.0417
41.85,0.95,1.4951
41.85,1.05,1.9942
41.85,1.15,2.4363
41.85,1.25,2.4586
41.85,1.35,2.421
41.85,1.45,2.3448
41.85,1.55,2.0723
41.85,1.65,1.9361
41.85,1.75,2.8029
41.85,1.85,3.7861
41.85,1.95,3.2614
41.85,2.05,2.7686
41.85,2.15,3.274
41.85,2.25,2.8332
41.85,2.35,0.96712
41.85,2.45,0.89586
41.85,2.55,1.464
41.85,2.65,3.801
41.85,2.75,7.8351
41.85,2.85,8.4597
41.85,2.95,5.8565
41.85,3.05,4.648
41.75,0.25,3.2827
41.75,0.35,3.5316
41.75,0.45,2.9935
41.75,0.55,2.0189
41.75,0.65,1.6168
41.75,0.75,2.029
41.75,0.85,2.7645
41.75,0.95,3.6214
41.75,1.05,4.2538
41.75,1.15,4.7237
41.75,1.25,4.9291
41.75,1.35,4.0927
41.75,1.45,4.2412
41.75,1.55,3.7004
41.75,1.65,4.4048
41.75,1.75,6.5845
41.75,1.85,6.6183
41.75,1.95,4.027
41.75,2.05,2.5448
41.75,2.15,2.9794
41.75,2.25,2.2796
41.75,2.35,1.8385
41.75,2.45,3.1609
41.75,2.55,5.1783
41.75,2.65,5.805
41.75,2.75,6.0816
41.75,2.85,6.528
41.75,2.95,5.204
41.75,3.05,3.3523
41.65,0.25,2.0565
41.65,0.35,2.7272
41.65,0.45,3.2582
41.65,0.55,3.385
41.65,0.65,4.3529
41.65,0.75,4.2449
41.65,0.85,4.3705
41.65,0.95,4.679
41.65,1.05,4.815
41.65,1.15,5.1148
41.65,1.25,6.0191
41.65,1.35,6.6704
41.65,1.45,6.1861
41.65,1.55,6.2075
41.65,1.65,7.7427
41.65,1.75,8.2664
41.65,1.85,8.4473
41.65,1.95,4.9749
41.65,2.05,4.7716
41.65,2.15,5.2935
41.65,2.25,5.8801
41.65,2.35,6.104
41.65,2.45,5.3118
41.65,2.55,5.8081
41.65,2.65,6.9694
41.65,2.75,10.209
41.65,2.85,5.2443
41.65,2.95,4.8658
41.65,3.05,5.4732
41.55,0.25,2.1604
41.55,0.35,2.2024
41.55,0.45,2.2357
41.55,0.55,3.0662
41.55,0.65,4.1629
41.55,0.75,4.1319
41.55,0.85,3.9966
41.55,0.95,3.5533
41.55,1.05,2.8976
41.55,1.15,3.5247
41.55,1.25,2.8053
41.55,1.35,3.7486
41.55,1.45,4.4211
41.55,1.55,8.1763
41.55,1.65,8.2919
41.55,1.75,9.1444
41.55,1.85,13.253
41.55,1.95,12.682
41.55,2.05,13.409
41.55,2.15,12.619
41.55,2.25,11.567
41.55,2.35,7.6899
41.55,2.45,5.8481
41.55,2.55,5.9415
41.55,2.65,6.9009
41.55,2.75,7.024
41.55,2.85,6.7369
41.55,2.95,7.1665
41.55,3.05,6.507
41.45,0.25,2.5471
41.45,0.35,2.5494
41.45,0.45,2.6447
41.45,0.55,2.7582
41.45,0.65,2.8221
41.45,0.75,2.552
41.45,0.85,2.0191
41.45,0.95,2.2519
41.45,1.05,1.9517
41.45,1.15,1.813
41.45,1.25,1.7136
41.45,1.35,2.0349
41.45,1.45,2.1373
41.45,1.55,7.7427
41.45,1.65,8.3754
41.45,1.75,10.732
41.45,1.85,15.597
41.45,1.95,18.956
41.45,2.05,19.835
41.45,2.15,18.378
41.45,2.25,11.063
41.45,2.35,6.3833
41.45,2.45,5.6477
41.45,2.55,6.7271
41.45,2.65,7.1529
41.45,2.75,6.5446
