time,lat,lon,CO,NO2,SO2,O3,PM10,PM25
2020-05-25 11:00:00+00:00,41.561176,2.101405,0.0,22.56,0.0,68.0,22.0,
2020-05-25 11:00:00+00:00,41.42562,2.222245,,5.64,,84.0,18.0,
2020-05-25 11:00:00+00:00,41.68905,2.495747,0.0,9.399999999999999,0.0,84.0,14.0,
2020-05-25 11:00:00+00:00,41.39216,2.009802,,5.64,0.0,32.0,12.0,
2020-05-25 10:00:00+00:00,41.526707,2.183795,0.0,9.399999999999999,0.0,60.0,21.0,
2020-05-25 11:00:00+00:00,42.40538,1.12993,,,,60.0,19.0,
2020-05-25 11:00:00+00:00,41.598667,2.287118,0.0,18.799999999999997,0.0,82.0,21.0,
2020-05-25 11:00:00+00:00,41.544106,0.829933,0.0,1.88,0.0,46.0,12.0,
2020-05-25 11:00:00+00:00,41.370502,2.114973,0.0,11.28,0.0,84.0,22.0,
2020-05-25 11:00:00+00:00,41.615795,0.615726,0.0,3.76,0.0,56.0,16.0,
2020-05-25 11:00:00+00:00,42.003277,2.287272,,3.76,0.0,66.0,21.0,
2020-05-25 11:00:00+00:00,41.73028,1.825306,0.0,15.04,0.0,72.0,18.0,
2020-05-25 10:00:00+00:00,41.475384,1.921202,0.0,7.52,,72.0,18.0,
2020-05-25 11:00:00+00:00,41.54716,2.443254,0.0,5.64,0.0,86.0,16.0,
2020-05-25 11:00:00+00:00,41.482018,2.188297,0.0,11.28,0.0,70.0,19.0,
2020-05-25 11:00:00+00:00,41.11588,1.191976,,33.839999999999996,0.0,46.0,10.0,
2020-05-25 11:00:00+00:00,41.556114,2.007401,0.0,20.68,0.0,66.0,20.0,
2020-05-25 11:00:00+00:00,41.935665,2.238568,,5.64,0.0,68.0,17.0,
2020-05-25 11:00:00+00:00,41.346825,1.686576,,3.76,,74.0,15.0,
2020-05-25 11:00:00+00:00,41.11209,1.151824,0.0,1.88,0.0,46.0,21.0,
2020-05-25 11:00:00+00:00,41.41843,2.123897,0.0,3.76,0.0,94.0,16.0,
2020-05-25 08:00:00+00:00,36.843816,-2.44745,0.0,16.919999999999998,2.62,60.0,9.0,
2020-05-25 08:00:00+00:00,36.773115,-2.810355,0.0,7.52,0.0,74.0,17.0,
