46.85479795,9.507073734,2.8,42.4,14,,
47.57897308,9.136613432,,44.3,,,
47.47972222,8.904722222,2.5,42.7,18,,
47.47972222,8.904722222,,,,,
47.47972222,8.904722222,,,,,
46.95111111,7.440833333,4.7,42.4,15,,
46.52194444,6.639722222,6.5,40.2,15,,
46.81305556,6.944444444,2.5,40.3,16,0.6,
46.01111111,8.957222222,2.6,44.6,22,0.6,
46.16027778,8.933888889,1.4,44.4,15,1,
47.54111111,7.583333333,2.4,47.8,26,0.4,
47.31194444,7.820555556,5.4,44.5,19,0.4,
46.22027778,7.341944444,1.8,45.2,9,,
46.5475,7.985,,35.7,7,0.3,
47.04944444,6.979166667,2.9,45.9,13,,
47.0675,8.463333333,2.2,46.7,12,0.2,
47.0675,8.463333333,,,,,
47.13556438,9.520893179,2.8,46,15,,
47.13556438,9.520893179,,3,,23,
47.13556438,9.520893179,,,,,
47.13556438,9.520893179,,19,17,24.6,
47.13556438,9.520893179,,19,17,24.6,
47.39861352,8.446197423,11.6,13.1,19,,
47.39861352,8.446197423,,26,13,12.6,
47.39861352,8.446197423,,25,14,18.8,
47.5081503,8.72037299,4.5,47.7,18,,
47.5081503,8.72037299,,25,,7.3,
47.5081503,8.72037299,,31,9,,
47.10225373,9.337550216,,,,,
47.10225373,9.337550216,,,,,
47.10225373,9.337550216,5.3,44.4,16,,
47.10225373,9.337550216,5.3,44.4,16,,
47.10225373,9.337550216,,,,,
47.10225373,9.337550216,2.4,43.7,15,,
47.18442,9.44631,14.4,0.1,18,,
47.66447968,9.169325974,7.5,41.4,22,,
47.4244818,9.3767173,11,36.2,18,,
47.3768866,8.541694,,25,14,7.3,
50.042003,14.411826,,20,,2.1,
50.094238,14.442049,8.6,22.9,13,0.7,
50.122189,14.467578,8.3,26.3,7,0.7,
50.072388,14.430673,13.3,,37,,
50.007304,14.445933,9.6,19.7,5,0.7,
50.062298,14.53782,22.5,2,10,0.7,
50.062298,14.53782,,,,,
50.081483,14.442692,11.4,19.7,8,0.7,
50.073137,14.398141,47.3,,21,,
50.04613,14.331413,19.9,11.1,10,,
50.126528,14.384639,5.8,24.7,18,2.2,
50.06643,14.446152,16.4,,7,,
50.111082,14.503096,27.7,11.3,15,0.7,
50.111082,14.503096,15.2,,103,,
50.10708611,14.25722611,9.4,12.7,18,2.2,
49.21608722,16.61383639,8.7,19.1,20,,
49.16526028,16.5808125,20,11.9,23,0.7,
49.20816028,16.64251722,14.5,12.3,28,,
49.18962083,16.56953806,6.5,11.9,16,0.7,
49.1858825,16.61366083,7.3,13.6,19,,
49.1858825,16.61366083,,,,,
49.19808972,16.59364306,7.6,19.1,20,,
49.14897167,16.69621667,9.1,17.3,10,0.7,
48.88135528,16.08581722,4.5,20.2,11,0.7,
48.79176722,16.72449694,3,24.6,10,0.7,
48.84295667,16.06012722,3.9,20.2,12,0.7,
49.20272444,16.61628722,11.7,13.6,10,,
49.18883139,16.62700083,7.1,12.3,19,,
48.85727694,17.13138972,3,24.6,20,0.7,
49.21321111,16.67802417,14.5,12.3,15,,
49.20819472,16.77844417,2.5,17.3,15,0.7,
49.21944417,16.75530611,3.7,16.6,21,0.7,
48.98438639,14.46568389,5.2,20.4,8,5.9,
49.06843556,13.61480139,1,32.7,17,0.3,
48.7241975,14.72338194,3.6,28,8,6.2,
49.46727361,13.83745583,8.6,28.1,30,0.7,
49.01608667,14.00044444,3,22.3,22,0.3,
49.41123194,14.67638861,5.7,13.4,14,0.8,
49.41123194,14.67638861,5.3,,,,
50.04219806,15.73941417,6.1,19.5,4,1.4,
50.02403639,15.76354889,9,19.5,4,0.7,
49.73508444,16.03419694,9,30,13,0.7,
49.758995,16.66672139,9.9,22.8,30,,
